GEN1,GEN2
MTND4P10,TCP10
MTND4P10,RP11-805I24.3
MTND4P10,TINAG
MTND4P10,RP11-989E6.10
MTND4P10,ERICH3-AS1
MTND4P10,ZNF806
MTND4P10,SPATA31B1P
MTND4P10,RP3-333B15.4
MTND4P10,RP11-189E14.4
MTND4P10,OR2H1
MTND4P10,AC009234.1
MTND4P10,C10orf71
MTND4P10,SMIM21
MTND4P10,LINC00703
RP5-998H6.2,RP11-5A1.1
RP5-998H6.2,MTND5P13
RP5-998H6.2,MTND5P3
RP5-998H6.2,KNCN
RP5-998H6.2,RP11-753D20.4
RP5-998H6.2,PABPC1P13
RP5-998H6.2,NEUROD1
RP5-998H6.2,RP4-668E10.4
RP5-998H6.2,RP11-340L3.1
RP5-998H6.2,MAPK6PS2
RP5-998H6.2,RP11-544D21.2
RP5-998H6.2,EIF4BP4
RP5-998H6.2,RP11-144L1.4
RP5-998H6.2,MTND2P20
RP5-998H6.2,RP11-63H19.2
RP5-998H6.2,MTND2P7
CTD-2313J23.1,RP11-488I20.9
CTD-2313J23.1,NEUROD1
CTD-2313J23.1,MTND5P13
CTD-2313J23.1,RP11-5A1.1
CTD-2313J23.1,LINC01247
CTD-2313J23.1,RP11-753D20.4
CTD-2313J23.1,RP11-144L1.4
CTD-2313J23.1,RP11-63H19.2
CTD-2313J23.1,PABPC1P13
CTD-2313J23.1,AC073869.8
CTD-2313J23.1,RP11-593P24.2
CTD-2313J23.1,EIF4BP4
CTD-2313J23.1,MTND2P7
CTD-2313J23.1,SLC4A1APP2
CTD-2313J23.1,RP11-340L3.1
CTD-2313J23.1,MTND2P20
CTD-2313J23.1,RP11-544D21.2
CTD-2313J23.1,KNCN
CTD-2313J23.1,RP4-668E10.4
RP11-488I20.9,MTND2P9
RP11-488I20.9,KLK2
RP11-488I20.9,RP11-753D20.4
RP11-488I20.9,RP11-306B9.1
RP11-488I20.9,RP3-412A9.17
RP11-488I20.9,OR8G5
RP11-488I20.9,TCHHL1
RP11-488I20.9,RP11-1070N10.5
RP11-488I20.9,CTD-2314G24.2
RP11-488I20.9,RP11-744K17.2
RP11-488I20.9,RP4-671O14.7
RP11-488I20.9,LINC00442
RP11-488I20.9,RP11-544D21.2
RP11-488I20.9,RP3-407E4.3
RP11-488I20.9,RP11-397A16.3
RP11-488I20.9,LA16c-60D12.1
RP11-488I20.9,CTD-2320B12.1
RP11-488I20.9,RP11-91I8.2
RP11-488I20.9,XAGE1B
RP11-488I20.9,AC098973.1
RP11-488I20.9,RP11-475D12.2
GJD2,SBF1P1
GJD2,HTR5A-AS1
GJD2,POU3F4
GJD2,RP11-113E21.3
GJD2,PABPC1L2A
GJD2,RP11-144L1.4
GJD2,TMCC1P1
GJD2,RPH3A
GJD2,RP11-461F11.2
GJD2,RP11-577N1.2
GJD2,RP11-753A21.2
GJD2,AC114776.3
GJD2,NEUROD6
GJD2,C11orf87
GJD2,CTD-2001J20.1
GJD2,LINC01109
GJD2,KB-1568E2.1
GJD2,FLJ33581
GJD2,NEFM
GJD2,OR2L6P
GJD2,MIR124-2HG
GJD2,LINC00550
GJD2,OPALIN
GJD2,CTB-43I4.1
GJD2,GABRA1
GJD2,RP11-946L20.1
GJD2,HTR5A
GJD2,GRID2
GJD2,OR6P1
GJD2,LINC00320
GJD2,LINC00901
GJD2,PHOX2B
GJD2,RP11-595O22.1
GJD2,UNC5D
GJD2,AC079248.1
GJD2,RP11-16E18.1
GJD2,DPP6
GJD2,KB-1410C5.2
GJD2,GABRG2
GJD2,AC011518.1
GJD2,GABRA6
GJD2,KNCN
GJD2,RP4-815D20.1
GJD2,RP11-566K19.12
GJD2,BOD1L2
GJD2,TMEM196
GJD2,AC104623.1
GJD2,OR2L3
GJD2,LINC00838
GJD2,GFY
GJD2,SLC4A1APP2
GJD2,ZNF806
GJD2,PPP1R17
GJD2,AC068137.5
GJD2,CACNG3
GJD2,RP11-67H2.1
GJD2,RP11-438B23.2
GJD2,MAN1A2P1
GJD2,NOL8P1
GJD2,CLVS2
GJD2,RP4-668E10.4
GJD2,GS1-519E5.1
GJD2,CTC-525D6.3
GJD2,AC011525.2
GJD2,RP11-340L3.1
GJD2,MTND5P17
GJD2,AC078842.4
GJD2,MMD2
GJD2,PCDH15
GJD2,SLC6A5
GJD2,NEFHP1
GJD2,AC105342.1
GJD2,CTC-281M20.1
GJD2,RP11-490G2.2
GJD2,CTD-3046C4.1
GJD2,HNRNPA1P42
GJD2,SYT14
GJD2,CTC-304I17.1
GJD2,LINC01102
SBF1P1,RP11-438B23.2
SBF1P1,MIR124-2HG
SBF1P1,LINC00320
SBF1P1,LINC01109
SBF1P1,RP11-531A24.3
SBF1P1,GABRA4
SBF1P1,CTAGE14P
RP11-390M11.1,RP11-509P12.1
RP11-390M11.1,OR2C3
RP11-390M11.1,RP3-326L13.2
RP11-390M11.1,RP11-71N10.1
RP11-390M11.1,LHFPL3
RP11-390M11.1,TMEM212
RP11-390M11.1,LINC01159
RP11-390M11.1,MMD2
RP11-390M11.1,UNC13C
RP11-390M11.1,C6orf10
RP11-390M11.1,LINC00320
RP11-509P12.1,RALYL
AC073869.8,GFY
AC073869.8,RP1-217P22.2
AC073869.8,LINC00550
AC073869.8,MUC12
AC073869.8,RP3-333B15.4
AC073869.8,LINC00837
AC073869.8,AC068137.5
AC073869.8,SSX2B
AC073869.8,RP11-67H2.1
AC073869.8,REG1P
AC073869.8,RP11-624J12.1
AC073869.8,HSP90AB7P
AC073869.8,RP11-626I20.3
AC073869.8,MUC17
AC073869.8,RP4-668E10.4
AC073869.8,MTND2P18
AC073869.8,OR6P1
AC073869.8,MTND4P4
AC073869.8,RP11-101E19.4
AC073869.8,MTND5P17
AC073869.8,RP11-45K10.2
AC073869.8,MTND5P27
AC073869.8,RGPD4-AS1
AC073869.8,LINC00971
AC073869.8,LINC00836
AC073869.8,CSN3
AC073869.8,CTD-2320B12.1
AC073869.8,MTND5P13
AC073869.8,MTND5P3
AC073869.8,CNPY1
AC073869.8,BPESC1
AC073869.8,HNRNPA1P42
AC073869.8,RP11-278H7.5
AC073869.8,RP11-861E23.2
AC073869.8,RP11-677O4.2
AC073869.8,RP11-566K19.12
AC073869.8,BOD1L2
AC073869.8,MTND5P29
AC073869.8,RP11-334E15.1
AC073869.8,RP11-474J18.1
AC073869.8,AC112198.1
AC073869.8,FOXR2
AC073869.8,RP11-846F4.5
AC073869.8,LINC00608
AC073869.8,RP11-299H22.1
AC073869.8,EIF4BP4
AC073869.8,RP11-417J1.3
AC073869.8,RP11-144L1.4
AC073869.8,RP11-475J5.6
AC073869.8,MTND2P22
AC073869.8,SLC4A1APP2
AC073869.8,MTND1P2
AC073869.8,SLC10A2
AC073869.8,OR1S2
AC073869.8,HNRNPA1P38
AC073869.8,SMIM21
AC073869.8,GOLGA8CP
AC073869.8,RP11-138B9.1
AC073869.8,RP11-2A4.4
AC073869.8,CACNG3
AC073869.8,LL22NC03-27C5.1
AC073869.8,CTD-2516K3.3
AC073869.8,RP11-193H5.5
AC073869.8,AC073065.3
AC073869.8,MTND5P30
AC073869.8,PABPC1P6
AC073869.8,RP11-387A1.6
AC073869.8,LINC00967
AC073869.8,RP11-526D8.7
AC073869.8,CTA-342B11.3
AC073869.8,CTD-3145H4.1
AC073869.8,AC006548.28
AC073869.8,RP11-81M19.1
AC073869.8,RP11-113E21.2
AC073869.8,LINC00343
AC073869.8,RP11-112N13.1
AC073869.8,CTA-929C8.9
AC073869.8,NEFHP1
AC073869.8,RP11-1086I4.2
AC073869.8,CTC-281M20.1
AC073869.8,PROL1
AC073869.8,RP11-238K6.1
AC073869.8,RP11-691G17.1
AC073869.8,RP5-921G16.1
AC073869.8,RP11-846F4.1
AC073869.8,AC073869.7
AC073869.8,AC079248.1
AC073869.8,RP11-108B14.5
AC073869.8,KB-1410C5.2
AC073869.8,AC079776.3
AC073869.8,HTN1
AC073869.8,OTX2-AS1
AC073869.8,RP11-753A21.2
AC073869.8,SPATA31A1
AC073869.8,NEUROD6
AC073869.8,KNCN
AC073869.8,MTND2P9
AC073869.8,RP11-846F4.6
AC073869.8,LINC01109
AC073869.8,AL022344.5
AC073869.8,AC007682.1
AC073869.8,MTND2P20
AC073869.8,MUC7
GFY,MTND5P13
GFY,MTND5P3
GFY,RP11-753D20.4
GFY,LINC01247
GFY,EIF4BP4
GFY,C11orf44
GFY,RP4-668E10.4
GFY,IARS2P1
GFY,MAPK6PS2
GFY,KNCN
GFY,MTND2P20
GFY,MTND2P7
GFY,RP11-340L3.1
SPATA31D1,MTND5P3
SPATA31D1,LINC01247
SPATA31D1,RP4-668E10.4
SPATA31D1,RP11-753D20.4
SPATA31D1,RP11-144L1.4
SPATA31D1,LINC00841
SPATA31D1,MTND5P13
SPATA31D1,RP11-5A1.1
SPATA31D1,MAPK6PS2
SPATA31D1,EIF4BP4
SPATA31D1,MTND2P7
SPATA31D1,SLC4A1APP2
SPATA31D1,MIR124-2HG
SPATA31D1,MTND2P20
MTND2P7,RP11-646E18.4
MTND2P7,RP11-677O4.2
MTND2P7,RP11-566K19.12
MTND2P7,BOD1L2
MTND2P7,MTND5P29
MTND2P7,USP29
MTND2P7,RP1-140J1.1
MTND2P7,RP11-113I24.1
MTND2P7,RP11-448K10.1
MTND2P7,AC007682.1
MTND2P7,ZIM3
MTND2P7,RP11-753D20.4
MTND2P7,RP5-865N13.1
MTND2P7,RP11-474J18.1
MTND2P7,FOXR2
MTND2P7,LINC01247
